Team,ATS Record,Cover %,MOV,ATS +/-
Howard,20-8-1,71.4%,9.7,4.9
Penn,20-8-0,71.4%,2.8,4.5
SF Austin,22-9-0,71.0%,10.4,3.2
Prairie View,21-9-0,70.0%,2.8,3.2
W Georgia,21-9-0,70.0%,-3.0,1.1
Detroit Mercy,20-9-1,69.0%,-0.1,3.7
Fresno St,21-10-0,67.7%,0.0,2.5
Navy,20-10-1,66.7%,10.9,3.9
E Michigan,20-10-0,66.7%,-2.8,1.1
Portland St,18-9-1,66.7%,6.4,0.8
Sam Houston,20-10-0,66.7%,8.1,4.0
Hofstra,21-11-0,65.6%,9.6,4.3
Wichita St,21-11-0,65.6%,7.2,2.7
North Dakota,21-11-0,65.6%,-0.7,1.5
Mercyhurst,21-11-0,65.6%,2.0,2.4
Miami OH,19-10-0,65.5%,15.4,3.2
Mercer,19-10-0,65.5%,7.2,1.1
C Arkansas,19-10-3,65.5%,6.1,5.7
Arkansas,22-12-0,64.7%,9.9,2.5
Tennessee St,18-10-1,64.3%,7.2,4.3
CS Fullerton,19-11-2,63.3%,1.3,3.0
Robert Morris,19-11-1,63.3%,5.3,2.5
UMBC,19-11-0,63.3%,9.2,6.3
Arizona St,20-12-1,62.5%,-2.0,0.9
St John's,20-12-1,62.5%,11.6,1.5
Charleston,19-12-0,61.3%,2.0,-0.6
Saint Mary's,19-12-0,61.3%,13.6,1.9
Green Bay,19-12-0,61.3%,0.0,3.2
Utah Tech,19-12-0,61.3%,1.9,1.8
Denver,17-11-1,60.7%,0.0,1.1
Washington,20-13-0,60.6%,3.5,0.1
Iowa St,20-13-1,60.6%,16.6,2.3
Kansas,20-13-0,60.6%,6.2,1.5
Saint Louis,18-12-2,60.0%,17.7,2.1
DePaul,18-12-2,60.0%,0.7,-0.5
Buffalo,18-12-0,60.0%,1.9,1.8
Coastal Car,18-12-1,60.0%,0.7,0.4
UL Monroe,18-12-0,60.0%,-11.5,-0.9
Iona,19-13-0,59.4%,0.7,0.0
North Carolina,19-13-0,59.4%,8.5,0.7
Florida St,19-13-1,59.4%,2.4,-0.1
E Washington,19-13-0,59.4%,-0.9,2.6
Villanova,19-13-0,59.4%,6.4,1.3
Wright St,19-13-0,59.4%,7.3,1.8
N Dakota St,19-13-0,59.4%,11.1,4.9
Saint Peter's,16-11-1,59.3%,2.4,0.2
Siena,20-14-0,58.8%,4.9,0.7
Wisconsin,20-14-0,58.8%,7.1,1.5
N Iowa,20-14-0,58.8%,8.7,2.9
Indiana St,17-12-1,58.6%,-0.9,0.5
Samford,17-12-1,58.6%,3.6,0.3
Bellarmine,17-12-1,58.6%,-1.7,1.7
N Florida,17-12-0,58.6%,-8.6,1.1
Lehigh,18-13-1,58.1%,-0.7,1.4
Valparaiso,18-13-1,58.1%,0.5,2.7
Toledo,18-13-1,58.1%,4.4,2.0
Saint Joseph's,18-13-0,58.1%,3.4,1.7
Stetson,18-13-0,58.1%,-6.1,2.0
Drexel,18-13-1,58.1%,0.8,0.3
Missouri St,18-13-0,58.1%,1.4,-0.2
UT Rio Grande,18-13-0,58.1%,6.4,4.1
Arizona,19-14-1,57.6%,17.4,3.4
New Orleans,19-14-0,57.6%,-3.2,3.4
Seton Hall,19-14-0,57.6%,5.0,1.6
Providence,19-14-0,57.6%,1.3,0.1
Cal Baptist,19-14-0,57.6%,5.5,1.4
Merrimack,19-14-1,57.6%,2.1,2.8
Wagner,16-12-0,57.1%,-0.4,2.1
Fordham,16-12-1,57.1%,4.4,1.6
NC A&T,16-12-0,57.1%,-2.8,1.5
Montana St,16-12-1,57.1%,6.5,1.9
Princeton,16-12-0,57.1%,-3.4,-0.7
Mt St Mary's,17-13-1,56.7%,-2.1,0.0
Belmont,17-13-1,56.7%,10.5,2.2
Stony Brook,17-13-0,56.7%,0.6,1.4
Morehead St,17-13-0,56.7%,0.5,0.7
Boise St,17-13-0,56.7%,4.7,-1.2
Louisiana Tech,17-13-1,56.7%,4.9,1.0
UT Arlington,17-13-0,56.7%,3.3,1.6
Presbyterian,17-13-0,56.7%,0.2,0.7
S Florida,18-14-0,56.3%,12.2,2.0
