model,feature,gain
win_model,Diff_MasseyMedianRank,138.6598663330078
win_model,Diff_MasseyMeanRank,115.2945556640625
win_model,Diff_MasseyWorstRank,29.958337783813477
win_model,Diff_MasseyStdRank,29.47649574279785
win_model,Diff_SeedNum,20.301820755004883
win_model,Diff_MasseyBestRank,20.1693115234375
win_model,Diff_NetRatingMean,14.83542251586914
win_model,Diff_EloPeak,13.731850624084473
win_model,Diff_EloEnd,13.714150428771973
win_model,Avg_NetRatingMean,13.216011047363281
win_model,Diff_SOSOppNetRating,11.342048645019531
win_model,Avg_MasseyMeanRank,10.507875442504883
win_model,Diff_Games,9.544220924377441
win_model,Avg_Games,9.432001113891602
win_model,Diff_FTRateMean,9.275184631347656
win_model,Diff_Wins,9.110156059265137
win_model,Avg_MasseyWorstRank,8.920735359191895
win_model,Avg_NeutralGamePct,8.906926155090332
win_model,Diff_NumOTMean,8.597810745239258
win_model,Avg_HomeWinPct,8.533254623413086
win_model,Avg_eFGMean,8.398904800415039
win_model,Avg_Last5DefRating,8.332274436950684
win_model,A_SeedNum,8.293566703796387
win_model,Avg_MarginMean,8.109599113464355
win_model,Avg_StlMean,7.9142165184021
win_model,Diff_WinPct,7.88748025894165
win_model,Avg_MasseyStdRank,7.865602970123291
win_model,Avg_OffRatingMean,7.839847564697266
win_model,Diff_SOSOppWinPct,7.804975986480713
win_model,Avg_Last5OppScore,7.775675296783447
win_model,Avg_FTPctMean,7.764860153198242
win_model,Avg_SOSOppWinPct,7.63381814956665
win_model,Diff_Last10Score,7.492633819580078
win_model,Avg_TOMean,7.469866752624512
win_model,Avg_PaceMean,7.447919845581055
win_model,Avg_PFMean,7.438681125640869
win_model,Avg_Wins,7.428793430328369
win_model,Avg_Last5Margin,7.424402236938477
win_model,Diff_OppFG3PctMean,7.399783134460449
win_model,Diff_Last10Margin,7.338627338409424
win_model,Avg_Last10OppScore,7.333636283874512
win_model,Diff_PFMean,7.218247890472412
win_model,Avg_Last10NetRating,7.1829938888549805
win_model,Diff_OppeFGMean,7.1754069328308105
win_model,Avg_Last10Margin,7.171815395355225
win_model,Avg_Last10DefRating,7.137819290161133
win_model,Diff_FG3PctMean,7.106382369995117
win_model,Diff_ORBRateMean,7.072896957397461
win_model,Avg_MasseyBestRank,7.048359394073486
win_model,Diff_eFGMean,7.029538154602051
win_model,B_SeedNum,6.95269250869751
win_model,Diff_Last5OffRating,6.879575252532959
win_model,Diff_TSMean,6.706942558288574
win_model,Avg_Last10WinPct,6.689563751220703
win_model,Avg_AwayWinPct,6.681755542755127
win_model,Diff_TOMean,6.671637058258057
win_model,Avg_EloPeak,6.657303333282471
win_model,Diff_TRBRateMean,6.649787902832031
win_model,Avg_OppFG3PctMean,6.5171074867248535
win_model,Diff_PaceMean,6.43411922454834
win_model,Diff_ASTTOVMean,6.41420316696167
win_model,Avg_AstMean,6.403283596038818
win_model,Diff_MarginMean,6.3863525390625
win_model,Avg_OppeFGMean,6.367992401123047
win_model,Avg_ScoreMean,6.365597724914551
win_model,Diff_AwayWinPct,6.314648628234863
win_model,Diff_FTPctMean,6.311326026916504
win_model,Diff_ScoreMean,6.276255130767822
win_model,Avg_Last10OffRating,6.238654613494873
win_model,Diff_ThreeRateMean,6.234992980957031
win_model,Avg_TSMean,6.144304275512695
win_model,Avg_EloEnd,6.064884185791016
win_model,Diff_Last10OffRating,6.06346321105957
win_model,Diff_Last5NetRating,5.967602252960205
win_model,Diff_NeutralGamePct,5.921535491943359
win_model,Avg_ThreeRateMean,5.881358623504639
win_model,Avg_Last5Score,5.819124698638916
