Team,Over Record,Over %,Under %,Total +/-
Xavier,25-8-0,75.8%,24.2%,6.0
Denver,20-8-1,71.4%,28.6%,7.0
New Mexico,22-9-0,71.0%,29.0%,2.6
Notre Dame,22-9-0,71.0%,29.0%,5.0
UL Monroe,20-9-1,69.0%,31.0%,5.8
NC Greensboro,22-10-0,68.8%,31.3%,7.9
Norfolk St,19-9-0,67.9%,32.1%,4.6
Old Dominion,21-10-1,67.7%,32.3%,3.0
Tulsa,21-10-0,67.7%,32.3%,5.1
N Kentucky,21-10-0,67.7%,32.3%,5.4
Providence,22-11-0,66.7%,33.3%,8.5
Cleveland St,20-10-0,66.7%,33.3%,6.3
Bellarmine,20-10-0,66.7%,33.3%,9.2
San Jose St,21-11-0,65.6%,34.4%,5.3
Long Beach St,19-10-1,65.5%,34.5%,4.7
Miami OH,19-10-0,65.5%,34.5%,6.2
Charleston So,19-10-0,65.5%,34.5%,4.6
Southern,20-11-0,64.5%,35.5%,4.7
Northeastern,20-11-0,64.5%,35.5%,7.6
High Point,20-11-0,64.5%,35.5%,1.0
NC State,21-12-0,63.6%,36.4%,7.0
Queens,21-12-0,63.6%,36.4%,5.6
Marshall,19-11-1,63.3%,36.7%,4.1
Coppin St,19-11-0,63.3%,36.7%,2.1
E Kentucky,19-11-0,63.3%,36.7%,4.9
UMass,20-12-0,62.5%,37.5%,4.5
UNLV,20-12-0,62.5%,37.5%,4.3
SMU,20-12-1,62.5%,37.5%,2.4
W Michigan,18-11-0,62.1%,37.9%,1.3
Samford,18-11-1,62.1%,37.9%,2.6
Wisconsin,21-13-0,61.8%,38.2%,3.5
Oakland,19-12-0,61.3%,38.7%,4.0
Belmont,19-12-0,61.3%,38.7%,4.1
Missouri St,19-12-0,61.3%,38.7%,3.2
Texas,19-12-0,61.3%,38.7%,3.8
Miami,19-12-1,61.3%,38.7%,0.4
New Mexico St,17-11-1,60.7%,39.3%,3.2
Jacksonville St,17-11-1,60.7%,39.3%,0.4
Southern Miss,20-13-0,60.6%,39.4%,3.2
St Bonaventure,20-13-0,60.6%,39.4%,5.1
Mississippi,21-14-0,60.0%,40.0%,3.1
Charlotte,19-13-1,59.4%,40.6%,3.7
CS Northridge,19-13-0,59.4%,40.6%,2.4
Bradley,19-13-0,59.4%,40.6%,5.6
Air Force,19-13-0,59.4%,40.6%,0.2
E Washington,19-13-0,59.4%,40.6%,3.2
Texas A&M,19-13-0,59.4%,40.6%,3.2
Santa Clara,19-13-1,59.4%,40.6%,3.7
Villanova,19-13-0,59.4%,40.6%,1.3
Morgan St,16-11-0,59.3%,40.7%,2.5
Nevada,20-14-0,58.8%,41.2%,3.4
S Utah,17-12-0,58.6%,41.4%,3.5
Rice,17-12-0,58.6%,41.4%,2.4
Liberty,17-12-0,58.6%,41.4%,4.7
Longwood,17-12-0,58.6%,41.4%,2.7
Georgia Tech,18-13-0,58.1%,41.9%,1.5
Lafayette,18-13-0,58.1%,41.9%,1.0
Bethune,18-13-0,58.1%,41.9%,2.3
Oregon St,19-14-0,57.6%,42.4%,1.1
Iowa,19-14-0,57.6%,42.4%,0.5
Utah St,19-14-0,57.6%,42.4%,1.9
New Orleans,19-14-0,57.6%,42.4%,2.0
Rutgers,19-14-0,57.6%,42.4%,2.6
Auburn,19-14-0,57.6%,42.4%,3.7
Kansas City,16-12-0,57.1%,42.9%,0.1
NC A&T,16-12-0,57.1%,42.9%,3.6
Loyola MD,17-13-0,56.7%,43.3%,4.5
Army,17-13-0,56.7%,43.3%,3.3
Kent St,17-13-1,56.7%,43.3%,5.3
NC Wilmington,17-13-0,56.7%,43.3%,-2.0
Idaho St,17-13-0,56.7%,43.3%,5.4
Boise St,17-13-0,56.7%,43.3%,3.8
Coastal Car,17-13-1,56.7%,43.3%,-0.6
Sam Houston,17-13-0,56.7%,43.3%,1.3
Abl Christian,17-13-0,56.7%,43.3%,1.4
N Dakota St,17-13-2,56.7%,43.3%,2.5
CS Bakersfield,17-13-0,56.7%,43.3%,5.1
Lindenwood,17-13-0,56.7%,43.3%,-0.8
Penn St,18-14-0,56.3%,43.8%,1.8
Lehigh,18-14-0,56.3%,43.8%,5.3
UC Davis,18-14-0,56.3%,43.8%,1.6
Drake,18-14-0,56.3%,43.8%,3.9
Boston U,18-14-0,56.3%,43.8%,8.4
Utah,18-14-0,56.3%,43.8%,-0.5
Murray St,18-14-0,56.3%,43.8%,4.9
Arkansas,19-15-0,55.9%,44.1%,7.0
Binghamton,15-12-0,55.6%,44.4%,5.2
Chattanooga,16-13-0,55.2%,44.8%,2.8
Evansville,16-13-1,55.2%,44.8%,2.3
Montana St,16-13-0,55.2%,44.8%,1.5
Radford,16-13-0,55.2%,44.8%,2.9
Purdue FW,16-13-0,55.2%,44.8%,-0.7
N Colorado,16-13-0,55.2%,44.8%,2.7
USC,17-14-0,54.8%,45.2%,2.5
Colgate,17-14-0,54.8%,45.2%,4.9
Cal Poly,17-14-0,54.8%,45.2%,0.8
Robert Morris,17-14-0,54.8%,45.2%,1.1
Temple,17-14-0,54.8%,45.2%,-1.1
Florida Atlantic,17-14-0,54.8%,45.2%,0.2
Campbell,17-14-1,54.8%,45.2%,2.5
