Team,Win-Loss Record,Win %,MOV,ATS +/-
Miami OH,31-1-0,96.9%,15.4,3.2
Duke,32-2-0,94.1%,19.1,2.4
Arizona,32-2-0,94.1%,17.4,3.4
Michigan,31-3-0,91.2%,17.6,3.0
Gonzaga,30-3-0,90.9%,19.1,1.1
High Point,30-4-0,88.2%,19.7,0.7
Virginia,29-5-0,85.3%,12.2,1.5
Akron,29-5-0,85.3%,14.9,1.7
UConn,29-5-0,85.3%,12.4,-1.9
Saint Louis,28-5-0,84.9%,17.7,2.1
McNeese,28-5-0,84.9%,13.6,-0.3
SF Austin,28-5-0,84.9%,10.4,3.2
Saint Mary's,27-5-0,84.4%,13.6,1.9
Houston,28-6-0,82.4%,14.3,0.3
Utah St,28-6-0,82.4%,12.2,1.0
St John's,28-6-0,82.4%,11.6,1.5
Belmont,26-6-0,81.3%,10.5,2.2
NC Wilmington,26-6-0,81.3%,9.3,0.6
Nebraska,26-6-0,81.3%,11.1,2.4
Yale,24-6-0,80.0%,10.8,0.0
VCU,27-7-0,79.4%,10.1,0.8
Iowa St,27-7-0,79.4%,16.6,2.3
N Dakota St,27-7-0,79.4%,11.1,4.9
Navy,26-7-0,78.8%,10.9,3.9
Tulsa,26-7-0,78.8%,12.6,4.5
Florida,26-7-0,78.8%,14.8,1.2
Michigan St,25-7-0,78.1%,10.5,1.4
Liberty,25-7-0,78.1%,7.8,-2.2
Purdue,27-8-0,77.1%,11.5,0.1
Santa Clara,26-8-0,76.5%,10.4,2.7
Vanderbilt,26-8-0,76.5%,11.1,1.0
Arkansas,26-8-0,76.5%,9.9,2.5
S Florida,25-8-0,75.8%,12.2,2.0
Miami,25-8-0,75.8%,10.8,1.1
Utah Valley,25-8-0,75.8%,11.7,-0.1
Cal Baptist,25-8-0,75.8%,5.5,1.4
North Carolina,24-8-0,75.0%,8.5,0.7
Illinois,24-8-0,75.0%,14.6,2.6
UMBC,24-8-0,75.0%,9.2,6.3
